PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
2114,Cat,Siamese,172,White,Large,7.4895732018583105,0,0,70,476,0,0
2486,Bird,Parakeet,148,White,Medium,23.9030914383044,1,0,85,437,0,0
1573,Dog,Poodle,93,Gray,Large,26.03947042113125,1,0,52,451,0,0
2221,Cat,Persian,106,White,Large,17.110226973818868,0,0,6,298,0,0
1383,Cat,Siamese,89,White,Medium,10.598766480498687,1,0,27,10,0,1
1233,Rabbit,Rabbit,137,White,Large,14.986448395890092,1,0,55,449,0,0
1074,Dog,Poodle,21,Gray,Medium,26.171032618061805,1,0,41,465,0,1
826,Cat,Persian,10,Brown,Large,16.52848354005167,1,0,30,192,1,1
711,Rabbit,Rabbit,120,Brown,Large,11.7123437691983,1,0,22,388,0,0
2095,Rabbit,Rabbit,16,Black,Small,16.734688123531825,1,0,73,251,1,1
2227,Dog,Labrador,39,Brown,Medium,21.85073194874376,1,0,85,203,0,1
2161,Dog,Labrador,166,Orange,Small,22.15599092862054,1,0,19,250,1,1
978,Dog,Labrador,100,Orange,Large,21.53028655645985,1,0,82,390,0,1
1562,Cat,Siamese,142,Black,Medium,21.31319109730638,0,0,17,261,0,0
2386,Bird,Parakeet,155,Brown,Medium,1.9663727837457448,1,0,42,251,1,0
1390,Dog,Golden Retriever,2,Gray,Small,12.196876476287043,0,0,10,443,1,0
1743,Rabbit,Rabbit,101,White,Large,9.507110173432595,1,1,33,117,0,0
964,Cat,Siamese,159,Orange,Medium,22.173775445516323,0,1,7,233,0,0
1596,Bird,Parakeet,21,Brown,Large,17.121448495155292,0,1,7,472,0,0
1199,Cat,Persian,85,Black,Medium,11.411022274298649,1,0,2,181,0,1
1728,Bird,Parakeet,98,Gray,Large,27.521258460259624,1,1,61,96,1,0
1116,Rabbit,Rabbit,152,Black,Small,11.91065197247454,1,0,64,417,0,0
1134,Dog,Labrador,22,Black,Small,27.36281374400521,1,0,44,351,0,1
1676,Cat,Siamese,170,Black,Large,29.53944763096088,1,0,15,361,0,0
1466,Rabbit,Rabbit,124,Brown,Small,9.171957777768714,0,0,38,52,0,0
1435,Bird,Parakeet,21,Brown,Small,4.346685820117836,1,0,64,412,0,1
2418,Dog,Poodle,81,Orange,Small,13.063698631282008,0,0,75,335,0,1
1405,Cat,Persian,11,Orange,Small,10.133609795644023,1,0,22,457,1,1
2380,Dog,Poodle,58,Brown,Large,22.169803514703947,0,0,19,295,1,0
740,Rabbit,Rabbit,169,Orange,Small,26.926208739587377,1,0,73,55,0,0
1518,Dog,Labrador,168,White,Small,20.49619692288141,1,0,7,140,0,1
1416,Dog,Golden Retriever,68,Black,Medium,15.08329128693164,1,0,74,419,0,1
1439,Bird,Parakeet,157,Orange,Medium,20.736438399460734,0,0,57,231,1,0
1118,Bird,Parakeet,61,Brown,Small,15.588268679153622,1,0,38,316,0,0
999,Cat,Persian,78,Orange,Medium,21.042070231561684,1,0,7,289,0,1
1960,Cat,Persian,162,Brown,Small,6.452455798692379,0,1,65,414,0,0
1741,Dog,Golden Retriever,5,White,Small,3.399410801125075,0,0,73,49,1,0
2281,Cat,Persian,91,Orange,Small,24.3698734546878,1,0,9,7,0,0
1273,Cat,Persian,108,Orange,Medium,20.269069055704527,0,0,77,302,1,0
1665,Cat,Persian,154,White,Medium,3.0241850619477426,0,0,46,429,0,0
1768,Dog,Golden Retriever,48,White,Small,17.285946468040336,1,0,62,462,0,0
1955,Cat,Persian,65,White,Large,9.667032474819164,1,0,44,68,1,0
